Molecule ID,ext,External ID,Gene,Name,Source acc,Regulation (case/control),Validation,Scores
A4016,,MTMRE_HUMAN,MTMR14,Myotubularin-related protein 14 precursor,A_32_P9842,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 3.41E-04
A4322,X,FKBP2_HUMAN,FKBP2;FKBP13,FK506-binding protein 2 precursor,A_23_P161596,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 8.80E-04
A4470,,ITPR2_HUMAN,ITPR2,Inositol 1;4;5-trisphosphate receptor type 2,A_23_P203933,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 1.16E-03
A456A,,GCFC2_HUMAN,GCFC2;GCF;TCF9,GC-rich sequence DNA-binding factor,A_24_P51037,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 9.67E-05
A460C,,SAR1A_HUMAN,SAR1A;SAR1;SARA,SAR1 geme homolog A,A_23_P127175,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 2.03E-03
A464E,,UBX10_HUMAN,UBXN10;UBXD3,UBX domain-containing protein 10,A_32_P205053,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 4.06E-04
A4848,,GRAN_HUMAN,GCA;GCL,Grancalcin,A_23_P28485,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 8.27E-04
A538D,,HN1L_HUMAN,HN1L;L11;HN1LA,Hematological and neurological expressed gene 1-like protein-like protein,A_23_P434900,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 4.40E-03
A5839,,ASPG_HUMAN,AGA;GA,N(4)-(beta)-N-acetylglucosaminyl-L-asparaginase precursor,A_23_P7099,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 1.13E-03
A643B,,TM131_HUMAN,TMEM131;RW1,PREDICTED: RW1 protein,A_23_P368558,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 2.60E-03
A6493,,FADS2_HUMAN,FADS2;P5327,Delta-6 fatty acid desaturase,A_23_P98580,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 1.43E-03
A8027,,TRI23_HUMAN,TRIM23;ARD1;ARFD1,GTP-binding protein ARD-1,A_24_P208998,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 4.68E-04
A868B,,CHM2B_HUMAN,CHMP2B;CGI-84,Charged multivesicular body protein 2B,A_24_P114617,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 1.20E-03
A9389,,LRP10_HUMAN,LRP10;MSTP087;SP220,Low-density lipoprotein receptor-related protein 10 precursor,A_23_P205499,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 1.83E-03
A962C,,CC127_HUMAN,CCDC127,Coiled-coil domain-containing protein 127,A_32_P226700,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 8.91E-04
BM111,,Q96QS4,LOH12CR2;LOH2CR12,Loss of heterozygosity 12 chromosomal region 2 protein,A_32_P198810,ratio: 0.5,ratio_log2fc: -1.00,,p-value: 3.17E-03
A022C,,HFE_HUMAN,HFE;HLA-H;HLAH,Hereditary hemochromatosis protein precursor,A_24_P111996,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 1.25E-03
A0234,,ARP3_HUMAN,ACTR3;ARP3,Actin-like protein 3,A_24_P105771,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 1.16E-04
A0539,X,DOCK1_HUMAN,DOCK1,Dedicator of cytokinesis protein 1,A_23_P45059,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 7.34E-04
A0794,,BMR1A_HUMAN,BMPR1A;ACVRLK3;ALK3,Bone morphogenetic protein receptor type IA precursor,A_24_P418717,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 3.85E-03
A4127,,GPSM2_HUMAN,GPSM2;LGN,Mosaic protein LGN,A_23_P63402,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 2.92E-03
A4159,,MLF1_HUMAN,MLF1,Myeloid leukemia factor 1,A_23_P143906,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 2.65E-05
A4938,X,LAD1_HUMAN,LAD1;LAD,Ladinin 1,A_23_P415510,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 3.41E-04
A5180,,TBA1C_HUMAN,TUBA1C;TUBA6,Tubulin alpha-1C chain,A_24_P188071,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 4.51E-04
A6351,,DNSL1_HUMAN,DNASE1L1;DNAS1L1;DNL1L,Dexyribonuclease-1-like 1,A_32_P66324,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 1.41E-03
A6377,,DTX3L_HUMAN,DTX3L;BBAP,E3 ubiquitin-protein ligase DTX3L,A_24_P941912,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 4.93E-04
A709B,X,TMM33_HUMAN,TMEM33;DB83;SHINC3,Transmembrane protein 33,A_23_P213069,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 7.81E-06
A729G,,HACD4_HUMAN,PTPLAD2;HACD4,Protein tyrosine phosphatase-like protein PTPLAD2,A_32_P101313,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 2.01E-03
A9242,,5HT1E_HUMAN,HTR1E,5-hydroxytryptamine 1E receptor,A_24_P380349,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 3.16E-03
A9719,X,HOME3_HUMAN,HOMER3,Homer;neuronal immediate early gene;3,A_23_P39364,ratio: 0.4,ratio_log2fc: -1.34,,p-value: 7.72E-04
A0633,,1433F_HUMAN,YWHAH;YWHA1,14-3-3 protein eta,A_23_P103070,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 3.31E-04
A0751,,SMAD5_HUMAN,SMAD5;MADH5,Mothers against decapentaplegic homolog 5,A_23_P144944,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 8.11E-06
A076F,,CKLF6_HUMAN,CMTM6;CKLFSF6,Chemokine-like factor superfamily member 6,A_24_P97526,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 9.69E-04
A0796,X,AKAP2_HUMAN,AKAP2;PRKA2;PALM2-AKAP2,A-kinase anchor protein 2,A_23_P359043,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 7.63E-05
A0907,,1433T_HUMAN,YWHAQ,14-3-3 protein tau,A_32_P202057,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.53E-05
A118F,,P2R3A_HUMAN,PPP2R3A;PPP2R3,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,A_24_P388433,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 4.33E-04
A152J,,WBP4_HUMAN,WBP4;FBP21;FNBP21,WW domain-binding protein 4,A_23_P140035,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.28E-04
A1630,,CD59_HUMAN,CD59;MIC11;MIN1,CD59 glycoprotein precursor,A_23_P75523,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 5.43E-05
A1630,,CD59_HUMAN,CD59;MIC11;MIN1,CD59 glycoprotein precursor,A_24_P141481,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 2.01E-04
A2173,,HMGB3_HUMAN,HMGB3;HMG2A;HMG4,High mobility group protein B3,A_23_P217236,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 6.98E-04
A250J,,ZCHC7_HUMAN,ZCCHC7;HSPC086,Zinc finger CCHC domain containing protein 7,A_23_P124855,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.03E-04
A2704,,ZN33B_HUMAN,ZNF33B;KOX2;ZNF11B,Zinc finger protein 33B,A_32_P61657,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 3.33E-05
A287A,,CENPH_HUMAN,CENPH;ICEN35;CENP-H,Centromere protein H,A_23_P110802,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.69E-04
A3316,,ZFX_HUMAN,ZFX,Zinc finger X-chromosomal protein,A_24_P940524,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 5.04E-05
A361H,,MKNK2_HUMAN,MKNK2;GPRK7;MNK2,MAP kinase-interacting serine/threonine kinase 2,A_23_P142310,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.16E-04
A3674,,DLDH_HUMAN,DLD;GCSL;LAD,Dihydrolipoyl dehydrogenase;mitochondrial precursor,A_23_P111835,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 2.35E-04
A4037,,KAPCB_HUMAN,PRKACB;PKACB,cAMP-dependent protein kinase;beta-catalytic subunit,A_23_P371410,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 7.37E-04
A445D,,FA84B_HUMAN,FAM84B;BCMP101;NSE2,NSE2 protein,A_24_P329487,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 5.75E-04
A4648,,CDCP1_HUMAN,CDCP1;TRASK;UNQ2486/PRO5773,CUB domain containing protein 1 precursor,A_23_P113613,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 3.23E-03
A518C,,SNX16_HUMAN,SNX16,Sorting nexin 16,A_23_P258891,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 3.17E-04
A685B,X,TM9S3_HUMAN,TM9SF3;SMBP;UNQ245/PRO282,Transmembrane 9 superfamily protein member 3 precursor,A_24_P309360,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.10E-05
A830B,,AR6P1_HUMAN,ARL6IP1;ARL6IP,ADP-ribosylation factor-like protein 6-interacting protein 1,A_23_P118150,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.57E-03
A8450,,PHAR2_HUMAN,PHACTR2,Phosphatase and actin regulator 2,A_23_P111240,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 9.67E-05
A918F,,CO039_HUMAN,FP6578,Uncharacterized protein C15orf39,A_23_P37514,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 4.21E-04
A954C,X,CC112_HUMAN,CCDC112;MBC1,Coiled-coil domain-containing protein 112,A_32_P155645,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 1.77E-03
A9986,X,MACC1_HUMAN,MACC1;7A5,Metastasis-associated in colon cancer protein 1,A_32_P131031,ratio: 0.4,ratio_log2fc: -1.33,,p-value: 4.30E-03
A0823,,SCHI1_HUMAN,IQCJ-SCHIP1;SCHIP1;SCHIP-1,Schwannomin interacting protein 1,A_32_P62863,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.36E-03
A108H,,LBH_HUMAN,LBH,Limb bud and heart development homolog,A_24_P182858,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.07E-04
A1269,,PPIP2_HUMAN,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,A_24_P322353,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 3.76E-04
A1647,,SNPC2_HUMAN,SNAPC2;SNAP45,snRNA activating protein complex subunit 2,A_23_P67228,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 3.92E-05
A228G,,EDN1_HUMAN,EDN1,Endothelin-1 precursor,A_23_P214821,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.29E-03
A238D,,CT202_HUMAN,,Uncharacterized protein LOC400831,A_32_P213881,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 4.65E-03
A2628,,SDK2_HUMAN,SDK2,Sidekick-2 precursor,A_23_P89691,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 2.15E-04
A334B,,S35F6_HUMAN,SLC35F6;UNQ3047/PRO9863;UNQ3047,Transmembrane protein C2ORF18 precursor,A_23_P102494,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 4.49E-04
A420H,,MS18B_HUMAN,OIP5;MIS18B,Opa-interacting protein 5,A_23_P379614,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 4.00E-03
A4390,X,SEC63_HUMAN,SEC63;SEC63L,Translocation protein SEC63 homolog,A_23_P214977,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 4.13E-06
A464E,,UBX10_HUMAN,UBXN10;UBXD3,UBX domain-containing protein 10,A_23_P85664,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 6.71E-05
A480F,,BCL10_HUMAN,BCL10;CIPER;CLAP,B cell lymphoma/leukemia 10,A_23_P115286,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 5.56E-05
A5571,,NUCB2_HUMAN,Nucb2;NUCB2;NEFA,Nucleobindin 2 precursor,A_23_P13364,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 9.39E-05
A5863,,ATAD2_HUMAN,ATAD2;L16;PRO2000,ATPase family AAA domain containing protein 2,A_23_P216068,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.34E-03
A601E,,TNF15_HUMAN,TNFSF15;TL1;VEGI,Tumor necrosis factor ligand superfamily member 15,A_32_P158181,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 4.87E-03
A6195,X,CP51A_HUMAN,CYP51A1;CYP51,Cytochrome P450;family 51;subfamily A;polypeptide 1,A_23_P257716,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 7.41E-05
A625C,,TMX1_HUMAN,TXNDC;TMX1;TMX,Thioredoxin-related transmembrane protein 1,A_23_P76951,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 7.24E-06
A674F,,CCD82_HUMAN,CCDC82;HT025,Coiled-coil domain-containing protein 82,A_24_P372580,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 2.60E-03
A740I,,TEANC_HUMAN,TCEANC;YPEL2,TFIIS central domain-containing protein 1,A_23_P320159,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 2.43E-05
A7881,,ST2A1_HUMAN,SULT2A1;HST;STD,Bile salt sulfotransferase,A_23_P67381,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 2.87E-03
A831J,,ZNRF2_HUMAN,ZNRF2;RNF202;ELLS2,E3 ubiquitin-protein ligase ZNRF2,A_23_P325017,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.10E-03
A909F,,CNOT7_HUMAN,CNOT7;CAF1,CCR4-NOT transcription complex;subunit 7,A_32_P170888,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 1.49E-05
B8595,,KRA21_HUMAN,KRTAP2-1;KAP2.1;KRTAP2.1A,Keratin associated protein 2-1,A_24_P125977,ratio: 0.4,ratio_log2fc: -1.32,,p-value: 9.16E-05
A034D,,CE047_HUMAN,,Uncharacterized protein C5ORF47,A_32_P178855,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 4.07E-03
A069H,,KLRG1_HUMAN,KLRG1;CLEC15A;MAFA,ITIM-containing receptor MAFA-L,A_24_P261760,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.22E-03
A095B,,TDIF2_HUMAN,DNTTIP2;ERBP;TDIF2,Deoxynucleotidyltransferase terminal-interacting protein 2,A_23_P97584,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 1.91E-05
A131A,,SHSA5_HUMAN,SHISA5;SCOTIN,Protein SHISA-5,A_23_P212475,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 4.87E-05
A1705,,IBP5_HUMAN,IGFBP5;IBP5,Insulin-like growth factor binding protein 5 precursor,A_23_P383009,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 4.62E-03
A1764,,ZN165_HUMAN,ZNF165;ZPF165;ZSCAN7,Zinc finger protein 165,A_23_P93269,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.35E-05
A3256,,ZBT45_HUMAN,ZBTB45;ZNF499,Zinc finger and BTB domain containing protein 45,A_23_P164623,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.99E-07
A339I,,SC5D_HUMAN,SC5DL,Lathosterol oxidase,A_23_P372888,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.80E-05
A343F,,AP5S1_HUMAN,AP5S1,Chromosome 20 open reading frame 29,A_23_P57137,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 7.69E-04
A3633,,DHB12_HUMAN,HSD17B12,Hydroxysteroid (17-beta) dehydrogenase 12,A_23_P47377,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.04E-04
A4288,,CQ10B_HUMAN,COQ10B,Coenzyme Q-binding protein COQ10 homolog B;mitochondrial precursor,A_23_P102037,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 7.37E-04
A463F,,BAALC_HUMAN,BAALC,Brain and acute leukemia cytoplasmic protein,A_24_P273063,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 1.44E-04
A5052,,PCDG9_HUMAN,PCDHGA9,Protocadherin gamma A9 precursor,A_23_P364414,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.67E-03
A5606,,TSYL1_HUMAN,TSPYL;TSPYL1,Testis-specific Y-encoded-like protein 1,A_24_P179277,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 9.60E-04
A596E,,REG4_HUMAN,REG4;GISP;RELP,Regenerating gene type IV,A_24_P58673,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 4.36E-03
A612G,,GLP3L_HUMAN,GOLPH3L;GPP34R,Golgi phosphoprotein 3-like,A_24_P345377,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 3.61E-06
A638K,,LCE1A_HUMAN,LCE1A;LEP1,Late cornified envelope protein 1A,A_23_P103315,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 1.34E-04
A6487,,FACE1_HUMAN,ZMPSTE24;FACE1;STE24,CAAX prenyl protease 1 homolog,A_23_P137427,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 1.09E-04
A6745,,HS2ST_HUMAN,HS2ST1;HS2ST,Heparan sulfate 2-sulfotransferase,A_23_P200109,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 1.46E-04
A746H,,PANX1_HUMAN,PANX1;MRS1;UNQ2529/PRO6028,Pannexin 1,A_23_P47155,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 5.55E-05
A9712,,F175B_HUMAN,FAM175B;ABRO1,BRISC complex subunit ABRO1,A_23_P364478,ratio: 0.4,ratio_log2fc: -1.31,,p-value: 5.04E-05
A6033,,CDS1_HUMAN,CDS1;CDS,Phosphatidate cytidylyltransferase 1,A_24_P938614,ratio: 0.4,ratio_log2fc: -1.30,,p-value: 3.54E-03
A0110,,APC_HUMAN,APC;DP2.5,Adenomatous polyposis coli protein,A_23_P81612,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.93E-04
A020B,X,SMD3_HUMAN,SNRPD3,Small nuclear ribonucleoprotein Sm D3,A_23_P132216,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 8.16E-04
A0232,,ARPC3_HUMAN,ARPC3;ARC21,ARP2/3 complex 21 kDa subunit,A_24_P167473,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.46E-04
A032F,,SNR27_HUMAN,SNRNP27;RY1;RY-1,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,A_23_P39774,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 7.56E-04
A0452,,CALX_HUMAN,CANX,Calnexin precursor,A_24_P345993,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 8.65E-04
A047C,X,IPO9_HUMAN,IPO9;IMP9;RANBP9,Importin-9,A_23_P115573,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.70E-03
A0837,X,ICAM2_HUMAN,ICAM2;CD102,Intercellular adhesion molecule-2 precursor,A_23_P152655,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.90E-03
A1038,,IMA3_HUMAN,KPNA4;QIP1,Importin alpha-4 subunit,A_24_P11791,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.44E-03
A1067,X,ARHGC_HUMAN,ARHGEF12;LARG,Rho guanine nucleotide exchange factor 12,A_23_P127642,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.45E-03
A108J,,UFSP2_HUMAN,UFSP2,Ufm1-specific protease 2,A_23_P41437,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 7.46E-04
A1182,,PIR_HUMAN,PIR,Pirin,A_23_P137035,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.31E-03
A1251,,RBP1_HUMAN,RALBP1;RLIP1;RLIP76,RalA binding protein 1,A_23_P376599,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.52E-03
A125F,,UBP46_HUMAN,USP46,Ubiquitin carboxyl-terminal hydrolase 46,A_24_P377225,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 5.60E-05
A1668,,RS10_HUMAN,RPS10,40S ribosomal protein S10,A_23_P356484,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.30E-03
A2010,X,GRP75_HUMAN,HSPA9;GRP75;HSPA9B,Stress-70 protein;mitochondrial precursor,A_24_P77676,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.36E-03
A201B,X,ZC3H4_HUMAN,ZC3H4,Zinc finger CCCH domain-containing protein 4,A_24_P220618,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.44E-03
A2056,X,HLTF_HUMAN,HLTF;HIP116A;RNF80,Helicase-like transcription factor,A_24_P277155,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.55E-03
A2234,,FXL14_HUMAN,FBXL14;FBL14,F-box/LRR-repeat protein 14,A_23_P36724,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.63E-04
A230G,,EFC11_HUMAN,EFCAB11,EF-hand domain-containing protein C14ORF143,A_23_P129014,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.10E-03
A2383,,RHG26_HUMAN,ARHGAP26;GRAF;OPHN1L,RHO GTPase-activating protein 26,A_24_P28165,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 8.32E-04
A308J,,ZDH24_HUMAN,ZDHHC24;UNQ2528/PRO6027;LENG4,Probable Palmitoyltransferase ZDHHC24,A_23_P333330,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.81E-03
A3311,,ZN219_HUMAN,ZNF219,Zinc finger protein 219,A_23_P431360,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.11E-03
A3409,,PHX2A_HUMAN,PHOX2A;ARIX;PMX2A,Paired mesoderm homeobox protein 2A,A_24_P215445,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.30E-03
A3526,,SEP10_HUMAN,Sep-10;Sep-10,Septin 10,A_23_P43175,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.04E-03
A3810,,RL6_HUMAN,RPL6;TXREB1;TAXREB107,60S ribosomal protein L6,A_32_P215714,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 9.16E-04
A3977,X,EMC2_HUMAN,EMC2;TTC35,ER membrane protein complex subunit 2,A_23_P59999,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.38E-04
A431I,,SIM15_HUMAN,SMIM15,UPF0542 protein C5ORF43,A_32_P33821,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.20E-03
A462A,,GRSF1_HUMAN,GRSF1,G-rich sequence factor-1,A_23_P212937,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 4.59E-04
A5111,,RHPN2_HUMAN,RHPN2;P76RBE,Rhophilin-2,A_23_P119464,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.44E-04
A5235,,TUFT1_HUMAN,TUFT1;UNQ865,Tuftelin,A_23_P371824,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.37E-03
A529B,X,MCTP2_HUMAN,MCTP2,Multiple C2 and transmembrane domain-containing protein 2,A_32_P72758,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.93E-03
A5485,X,STRBP_HUMAN,STRBP;SPNR,Spermatid perinuclear RNA-binding protein,A_23_P252155,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 7.38E-04
A5569,,NDUF4_HUMAN,NDUFAF4;HRPAP20;HSPC125,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,A_24_P171983,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.13E-03
A558C,,STAU2_HUMAN,STAU2;39k3,Staufen homolog 2,A_24_P374634,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 9.16E-04
A575B,,PRRT3_HUMAN,PRRT3;UNQ5823/PRO19642;UNQ5823,Proline-rich transmembrane protein 3 precursor,A_23_P80626,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 7.32E-05
A5852,X,AT2C1_HUMAN,ATP2C1;PMR1L;HUSSY-28,Calcium-transporting ATPase type 2C;member 1,A_24_P137372,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.34E-03
A588A,,IF5_HUMAN,EIF5,Eukaryotic translation initiation factor 5,A_23_P205265,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.61E-03
A622A,,JERKL_HUMAN,JRKL,Jerky protein homolog like,A_23_P202737,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.92E-04
A6271,X,DDX27_HUMAN,DDX27;RHLP;HSPC259,Probable ATP-dependent RNA helicase DDX27,A_23_P40194,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 6.02E-05
A6399,X,DYR_HUMAN,DYR;DHFR;DHFRP1,Dihydrofolate reductase,A_24_P343095,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.65E-03
A6523,,FRDA_HUMAN,FXN;x25;FRDA,Frataxin;mitochondrial precursor,A_23_P60517,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.69E-04
A653H,,NXT2_HUMAN,NXT2;BM-025;DC9,NTF2-related export protein 2,A_24_P91916,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 7.56E-04
A673B,,TM237_HUMAN,ALS2CR4;TMEM237,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein,A_23_P370097,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.85E-03
A7354,,PEO1_HUMAN,PEO1,Twinkle protein;mitochondrial precursor,A_24_P258073,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 6.65E-04
A805B,X,AP3S2_HUMAN,AP3S2,AP-3 complex subunit sigma-2,A_24_P287683,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.44E-03
A8062,X,TTBK1_HUMAN,TTBK1;BDTK,TAU tubulin kinase 1,A_24_P75324,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.00E-04
A808G,,HTF4_HUMAN,TCF12;BHLHB20;HEB,Transcription factor 12,A_24_P82142,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.40E-04
A8400,X,CYTB_HUMAN,CSTB;CST6;STFB,Cystatin B,A_23_P154894,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.81E-03
A846I,,TM242_HUMAN,TMEM242;BM-033;HSPC287,Chromosome 6 open reading frame 35,A_23_P134026,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.60E-04
A850I,,TM251_HUMAN,TMEM251,UPF0694 transmembrane protein C14orf109,A_23_P140154,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 3.52E-04
A851D,,PTCD1_HUMAN,PTCD1;ATP5J2-PTCD1,Pentatricopeptide repeat protein 1,A_23_P134650,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.40E-04
A8653,X,ALS2_HUMAN,ALS2;ALS2CR6,Alsin,A_23_P377664,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 8.21E-04
A8820,,GRP1_HUMAN,RASGRP1;RASGRP,RAS guanyl-releasing protein 1,A_23_P113258,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.36E-04
A8855,,LAMP2_HUMAN,LAMP2;lamp-2,Lysosome-associated membrane glycoprotein 2 precursor,A_23_P416608,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 1.10E-05
A8949,,PRDBP_HUMAN,PRKCDBP;SRBC;HSRBC,Protein kinase C delta-binding protein,A_23_P203475,ratio: 0.49,ratio_log2fc: -1.04,,p-value: 2.02E-03
