Entrez Id,Gene Symbol,Description,Exp. # of eQTLs,Pr. of no eQTL,FDR
4907,NT5E,5'-nucleotidase ecto,1.87,5.70E-07,4.60E-08
5691,PSMB3,proteasome subunit beta 3,2.13,5.92E-07,4.76E-08
51367,POP5,"POP5 homolog, ribonuclease P/MRP subunit",1.01,6.03E-07,4.93E-08
728747,ANKRD20A4,ankyrin repeat domain 20 family member A4,1,6.17E-07,5.10E-08
5264,PHYH,phytanoyl-CoA 2-hydroxylase,1.99,6.64E-07,5.28E-08
58488,PCTP,phosphatidylcholine transfer protein,1.2,6.77E-07,5.47E-08
51399,TRAPPC4,trafficking protein particle complex 4,1.05,7.11E-07,5.67E-08
101928099,PCAT7,prostate cancer associated transcript 7 (non-protein coding),1.05,7.33E-07,5.87E-08
10974,ADIRF,adipogenesis regulatory factor,1.42,7.76E-07,6.08E-08
27166,PRELID1,PRELI domain containing 1,1.42,7.89E-07,6.29E-08
284184,NDUFAF8,NADH:ubiquinone oxidoreductase complex assembly factor 8,1.01,8.52E-07,6.53E-08
158471,PRUNE2,prune homolog 2,1.55,8.62E-07,6.76E-08
388796,SNHG17,small nucleolar RNA host gene 17,1.02,8.70E-07,6.99E-08
692084,SNORD13,"small nucleolar RNA, C/D box 13",1.05,8.79E-07,7.23E-08
118924,FRA10AC1,FRA10A associated CGG repeat 1,1.12,8.80E-07,7.46E-08
101928079,SLC44A3-AS1,SLC44A3 antisense RNA 1,1.03,8.87E-07,7.70E-08
978,CDA,cytidine deaminase,1.16,9.20E-07,7.94E-08
550112,UBA6-AS1,UBA6 antisense RNA 1 (head to head),1.05,9.59E-07,8.20E-08
25874,MPC2,mitochondrial pyruvate carrier 2,1.98,9.67E-07,8.45E-08
51657,STYXL1,serine/threonine/tyrosine interacting like 1,2.04,0.00000102,8.72E-08
374969,SVBP,small vasohibin binding protein,1.18,0.00000103,8.99E-08
51567,TDP2,tyrosyl-DNA phosphodiesterase 2,1.09,0.00000106,9.27E-08
348751,FTCDNL1,formiminotransferase cyclodeaminase N-terminal like,1.46,0.00000109,9.55E-08
83999,KREMEN1,kringle containing transmembrane protein 1,1.11,0.00000113,9.84E-08
11076,TPPP,tubulin polymerization promoting protein,1.24,0.00000115,1.01E-07
283131,NEAT1,nuclear paraspeckle assembly transcript 1 (non-protein coding),1.04,0.00000122,1.05E-07
256281,NUDT14,nudix hydrolase 14,1.14,0.00000124,1.08E-07
26227,PHGDH,phosphoglycerate dehydrogenase,1.02,0.00000128,1.11E-07
2893,GRIA4,glutamate ionotropic receptor AMPA type subunit 4,1.05,0.00000132,1.14E-07
1345,COX6C,cytochrome c oxidase subunit 6C,1.01,0.00000133,1.18E-07
80775,TMEM177,transmembrane protein 177,1.01,0.00000133,1.21E-07
78996,C7ORF49,chromosome 7 open reading frame 49,1.04,0.00000145,1.25E-07
5624,PROC,"protein C, inactivator of coagulation factors Va and VIIIa",1.16,0.00000148,1.29E-07
7515,XRCC1,X-ray repair cross complementing 1,1.01,0.00000149,1.32E-07
594838,SNORD100,"small nucleolar RNA, C/D box 100",1.27,0.00000152,1.36E-07
683,BST1,bone marrow stromal cell antigen 1,1.01,0.00000155,1.40E-07
976,ADGRE5,adhesion G protein-coupled receptor E5,1.41,0.00000155,1.44E-07
26589,MRPL46,mitochondrial ribosomal protein L46,1.04,0.00000159,1.48E-07
90507,SCRN2,secernin 2,1.19,0.00000166,1.52E-07
253039,PSMD5-AS1,PSMD5 antisense RNA 1 (head to head),1.04,0.00000179,1.56E-07
7802,DNALI1,dynein axonemal light intermediate chain 1,1.03,0.00000193,1.61E-07
353088,ZNF429,zinc finger protein 429,1,0.00000207,1.66E-07
3964,LGALS8,galectin 8,1.23,0.00000221,1.72E-07
728489,DNLZ,DNL-type zinc finger,1.03,0.00000224,1.77E-07
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",1.24,0.00000241,1.83E-07
55140,ELP3,elongator acetyltransferase complex subunit 3,1.12,0.00000247,1.89E-07
123876,ACSM2A,acyl-CoA synthetase medium chain family member 2A,2.08,0.00000248,1.95E-07
60558,GUF1,"GUF1 homolog, GTPase",1.01,0.00000259,2.02E-07
56912,IFT46,intraflagellar transport 46,1.04,0.00000266,2.08E-07
84650,EBPL,emopamil binding protein like,1.05,0.0000027,2.15E-07
23078,VWA8,von Willebrand factor A domain containing 8,1.05,0.00000283,2.22E-07
57380,MRS2,"MRS2, magnesium transporter",1.61,0.00000286,2.29E-07
9167,COX7A2L,cytochrome c oxidase subunit 7A2 like,1.01,0.00000289,2.36E-07
8701,DNAH11,dynein axonemal heavy chain 11,1.09,0.00000304,2.43E-07
57604,KIAA1456,KIAA1456,1.23,0.00000307,2.50E-07
79799,UGT2A3,UDP glucuronosyltransferase family 2 member A3,1.01,0.00000324,2.58E-07
25847,ANAPC13,anaphase promoting complex subunit 13,1.02,0.00000328,2.66E-07
6514,SLC2A2,solute carrier family 2 member 2,1.01,0.00000333,2.74E-07
79746,ECHDC3,enoyl-CoA hydratase domain containing 3,1.64,0.00000334,2.82E-07
100506085,LINC02275,long intergenic non-protein coding RNA 2275,1.71,0.00000344,2.90E-07
28971,AAMDC,adipogenesis associated Mth938 domain containing,1.53,0.00000353,2.98E-07
1388,ATF6B,activating transcription factor 6 beta,1,0.00000355,3.06E-07
23230,VPS13A,vacuolar protein sorting 13 homolog A,1.06,0.00000382,3.15E-07
345275,HSD17B13,hydroxysteroid 17-beta dehydrogenase 13,1.1,0.0000042,3.25E-07
56927,GPR108,G protein-coupled receptor 108,1.03,0.0000043,3.35E-07
4752,NEK3,NIMA related kinase 3,1.01,0.00000431,3.45E-07
3250,HPR,haptoglobin-related protein,1.02,0.00000435,3.56E-07
151556,GPR155,G protein-coupled receptor 155,1.03,0.00000455,3.66E-07
25895,EEF1AKMT3,EEF1A lysine methyltransferase 3,1,0.00000465,3.77E-07
116085,SLC22A12,solute carrier family 22 member 12,1.05,0.00000492,3.88E-07
9317,PTER,phosphotriesterase related,2.7,0.00000517,4.00E-07
80114,BICC1,BicC family RNA binding protein 1,1.01,0.00000546,4.13E-07
101927433,LINC01255,long intergenic non-protein coding RNA 1255,1.2,0.0000057,4.26E-07
1265,CNN2,calponin 2,1.99,0.00000636,4.41E-07
8605,PLA2G4C,phospholipase A2 group IVC,1.81,0.00000643,4.56E-07
5121,PCP4,Purkinje cell protein 4,1.01,0.0000068,4.71E-07
101927412,LINC01781,long intergenic non-protein coding RNA 1781,1.27,0.00000682,4.87E-07
5444,PON1,paraoxonase 1,1.25,0.00000686,5.03E-07
55009,C19ORF24,chromosome 19 open reading frame 24,1,0.00000699,5.18E-07
54435,HCG4,HLA complex group 4 (non-protein coding),1.06,0.00000705,5.34E-07
318,NUDT2,nudix hydrolase 2,1.12,0.00000718,5.51E-07
284825,LINC01697,long intergenic non-protein coding RNA 1697,1.08,0.00000725,5.67E-07
56829,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1",1.15,0.00000734,5.83E-07
83862,TMEM120A,transmembrane protein 120A,1.11,0.0000078,6.01E-07
8309,ACOX2,acyl-CoA oxidase 2,1.09,0.00000804,6.19E-07
9657,IQCB1,IQ motif containing B1,1.03,0.0000081,6.37E-07
4191,MDH2,malate dehydrogenase 2,1.02,0.0000082,6.55E-07
151258,SLC38A11,solute carrier family 38 member 11,1,0.00000829,6.73E-07
4351,MPI,mannose phosphate isomerase,1.01,0.00000833,6.92E-07
2519,FUCA2,alpha-L-fucosidase 2,1.8,0.00000851,7.10E-07
220963,SLC16A9,solute carrier family 16 member 9,1.61,0.00000856,7.29E-07
10516,FBLN5,fibulin 5,1.52,0.00000862,7.48E-07
100859930,HEIH,hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA,1.01,0.00000887,7.67E-07
3795,KHK,ketohexokinase,1,0.00000888,7.86E-07
4500,MT1L,"metallothionein 1L, pseudogene",1.78,0.00000892,8.05E-07
335,APOA1,apolipoprotein A1,1.03,0.000009,8.25E-07
83661,MS4A8,membrane spanning 4-domains A8,1.02,0.00000919,8.44E-07
285492,LINC00955,long intergenic non-protein coding RNA 955,1.58,0.00000922,8.64E-07
6787,NEK4,NIMA related kinase 4,1,0.00000961,8.84E-07
4927,NUP88,nucleoporin 88,1.87,0.00000984,9.05E-07
4255,MGMT,O-6-methylguanine-DNA methyltransferase,1.36,0.0000101,9.27E-07
389015,SLC9A4,solute carrier family 9 member A4,1.08,0.0000102,9.48E-07
6193,RPS5,ribosomal protein S5,1.01,0.0000107,9.71E-07
80254,CEP63,centrosomal protein 63,1,0.000011,9.94E-07
100131187,TSTD1,thiosulfate sulfurtransferase like domain containing 1,1.01,0.0000113,0.00000102
114569,MAL2,"mal, T-cell differentiation protein 2 (gene/pseudogene)",1.06,0.0000119,0.00000104
38,ACAT1,acetyl-CoA acetyltransferase 1,1.05,0.0000121,0.00000107
57407,NMRAL1,NmrA like redox sensor 1,1.14,0.0000128,0.00000109
204962,SLC44A5,solute carrier family 44 member 5,1.01,0.0000136,0.00000112
9414,TJP2,tight junction protein 2,1.24,0.0000137,0.00000115
2791,GNG11,G protein subunit gamma 11,1.04,0.0000138,0.00000118
729013,ZBED5-AS1,ZBED5 antisense RNA 1,1.53,0.0000147,0.00000121
55149,MTPAP,mitochondrial poly(A) polymerase,1.01,0.0000151,0.00000124
4522,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",1.01,0.0000154,0.00000127
155066,ATP6V0E2,ATPase H+ transporting V0 subunit e2,1.49,0.0000162,0.00000131
55011,PIH1D1,PIH1 domain containing 1,1.37,0.0000164,0.00000134
23014,FBXO21,F-box protein 21,1.03,0.0000168,0.00000138
132321,C4ORF33,chromosome 4 open reading frame 33,1.01,0.0000171,0.00000141
346171,ZFP57,ZFP57 zinc finger protein,1.09,0.000018,0.00000145
5373,PMM2,phosphomannomutase 2,1.1,0.000019,0.00000149
196446,MYRFL,myelin regulatory factor-like,1,0.0000205,0.00000153
441027,TMEM150C,transmembrane protein 150C,1.13,0.0000215,0.00000157
83876,MRO,maestro,1.05,0.0000226,0.00000162
83894,TTC29,tetratricopeptide repeat domain 29,1.03,0.0000227,0.00000167
84680,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),1.02,0.0000232,0.00000172
5578,PRKCA,protein kinase C alpha,1.02,0.0000236,0.00000176
117283,IP6K3,inositol hexakisphosphate kinase 3,1.02,0.0000246,0.00000181
2262,GPC5,glypican 5,1.05,0.0000247,0.00000186
100505812,CARD8-AS1,CARD8 antisense RNA 1,1.72,0.0000268,0.00000192
2185,PTK2B,protein tyrosine kinase 2 beta,1.18,0.0000269,0.00000197
80150,ASRGL1,asparaginase like 1,1.78,0.0000272,0.00000203
1346,COX7A1,cytochrome c oxidase subunit 7A1,1.69,0.0000276,0.00000208
51759,C9ORF78,chromosome 9 open reading frame 78,1.03,0.0000278,0.00000214
90333,ZNF468,zinc finger protein 468,1.39,0.0000285,0.0000022
246184,CDC26,cell division cycle 26,1.15,0.0000288,0.00000225
144321,GLIPR1L2,GLI pathogenesis related 1 like 2,1,0.000029,0.00000231
542767,PCOTH,Pro-X-Gly collagen triple helix like repeat containing,1.03,0.0000292,0.00000237
7512,XPNPEP2,X-prolyl aminopeptidase 2,1.28,0.0000294,0.00000243
410,ARSA,arylsulfatase A,1.04,0.0000302,0.00000249
64981,MRPL34,mitochondrial ribosomal protein L34,1.09,0.000031,0.00000255
5764,PTN,pleiotrophin,1.03,0.0000316,0.00000261
56994,CHPT1,choline phosphotransferase 1,1.88,0.0000318,0.00000267
118460,EXOSC6,exosome component 6,1.1,0.0000326,0.00000273
79814,AGMAT,agmatinase,1.39,0.0000332,0.0000028
677811,SNORA28,"small nucleolar RNA, H/ACA box 28",1.01,0.0000341,0.00000286
10537,UBD,ubiquitin D,1.07,0.0000342,0.00000293
284422,SMIM24,small integral membrane protein 24,1.11,0.0000344,0.000003
6118,RPA2,replication protein A2,1.01,0.0000359,0.00000306
4189,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9,1.05,0.000038,0.00000314
9014,TAF1B,"TATA-box binding protein associated factor, RNA polymerase I subunit B",1.1,0.0000386,0.00000321
348995,NUP43,nucleoporin 43,1.37,0.0000389,0.00000329
341277,OVCH2,ovochymase 2 (gene/pseudogene),1.05,0.0000392,0.00000336
55170,PRMT6,protein arginine methyltransferase 6,1.82,0.0000394,0.00000344
2021,ENDOG,endonuclease G,1.47,0.0000425,0.00000352
8000,PSCA,prostate stem cell antigen,1.19,0.0000459,0.0000036
100507316,MINCR,MYC-induced long non-coding RNA,1.68,0.0000459,0.00000369
79672,FN3KRP,fructosamine 3 kinase related protein,1.17,0.0000463,0.00000378
79713,IGFLR1,IGF like family receptor 1,1.06,0.0000482,0.00000387
6385,SDC4,syndecan 4,1.41,0.0000497,0.00000396
71,ACTG1,actin gamma 1,1.04,0.0000497,0.00000406
79781,IQCA1,IQ motif containing with AAA domain 1,1.05,0.0000497,0.00000415
57127,RHBG,Rh family B glycoprotein (gene/pseudogene),1.05,0.0000533,0.00000425
8418,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",1.2,0.0000538,0.00000435
284889,MIF-AS1,MIF antisense RNA 1,1.01,0.0000543,0.00000445
100874083,KCNAB1-AS2,KCNAB1 antisense RNA 2,1,0.000055,0.00000456
100874270,HAO2-IT1,HAO2 intronic transcript 1,1.98,0.0000554,0.00000466
51170,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11,1.73,0.0000571,0.00000476
481,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1.5,0.0000577,0.00000487
8754,ADAM9,ADAM metallopeptidase domain 9,1.02,0.0000577,0.00000498
4552,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,1.01,0.0000581,0.00000508
192683,SCAMP5,secretory carrier membrane protein 5,1.06,0.0000614,0.0000052
292,SLC25A5,solute carrier family 25 member 5,1.01,0.0000647,0.00000531
101410538,MMP24-AS1,MMP24 antisense RNA 1,1,0.000065,0.00000543
54923,LIME1,Lck interacting transmembrane adaptor 1,1.01,0.0000654,0.00000555
55346,TCP11L1,t-complex 11 like 1,1.12,0.0000657,0.00000567
92675,DTD1,D-tyrosyl-tRNA deacylase 1,1.16,0.0000661,0.00000579
5438,POLR2I,RNA polymerase II subunit I,1.02,0.0000721,0.00000592
54187,NANS,N-acetylneuraminate synthase,1.01,0.0000745,0.00000606
7485,WRB,tryptophan rich basic protein,1.03,0.0000763,0.0000062
79961,DENND2D,DENN domain containing 2D,1.24,0.0000767,0.00000633
54884,RETSAT,retinol saturase,1.15,0.0000775,0.00000647
729920,ISPD,isoprenoid synthase domain containing,1.07,0.0000776,0.00000661
59338,PLEKHA1,pleckstrin homology domain containing A1,1.01,0.0000786,0.00000675
60,ACTB,actin beta,1.12,0.0000832,0.0000069
51083,GAL,galanin and GMAP prepropeptide,1.16,0.0000835,0.00000705
3106,HLA-B,"major histocompatibility complex, class I, B",2.35,0.0000836,0.0000072
10200,MPHOSPH6,M-phase phosphoprotein 6,1.06,0.0000848,0.00000735
23587,ELP5,elongator acetyltransferase complex subunit 5,1.02,0.0000848,0.0000075
468,ATF4,activating transcription factor 4,1.01,0.0000855,0.00000765
3007,HIST1H1D,histone cluster 1 H1 family member d,1.01,0.0000879,0.00000781
847,CAT,catalase,1.06,0.0000907,0.00000797
401505,TOMM5,translocase of outer mitochondrial membrane 5,1.16,0.000097,0.00000814
127069,OR2T10,olfactory receptor family 2 subfamily T member 10,1.02,0.0000985,0.00000831
56245,C21ORF62,chromosome 21 open reading frame 62,1.02,0.0000991,0.00000848
8818,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",1.07,0.000101,0.00000866
55331,ACER3,alkaline ceramidase 3,1.01,0.000104,0.00000884
3672,ITGA1,integrin subunit alpha 1,1.02,0.000109,0.00000903
6540,SLC6A13,solute carrier family 6 member 13,1.02,0.00011,0.00000922
5314,PKHD1,"PKHD1, fibrocystin/polyductin",1,0.00011,0.00000941
10154,PLXNC1,plexin C1,1.01,0.000111,0.00000961
9061,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1,1.01,0.000116,0.00000981
196385,DNAH10,dynein axonemal heavy chain 10,1.49,0.000117,0.00001
101928470,TMEM246-AS1,TMEM246 antisense RNA 1,1.02,0.000121,0.0000102
440275,EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4,1.16,0.000121,0.0000104
57418,WDR18,WD repeat domain 18,1.16,0.000122,0.0000106
757,TMEM50B,transmembrane protein 50B,1,0.000125,0.0000108
100128822,LINC01003,long intergenic non-protein coding RNA 1003,1.66,0.000127,0.0000111
780,DDR1,discoidin domain receptor tyrosine kinase 1,1.29,0.000131,0.0000113
25813,SAMM50,SAMM50 sorting and assembly machinery component,1.01,0.000132,0.0000115
4729,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,1.01,0.000132,0.0000117
93100,NAPRT,nicotinate phosphoribosyltransferase,1.26,0.000133,0.000012
92342,METTL18,methyltransferase like 18,1.03,0.000137,0.0000122
388630,TRABD2B,TraB domain containing 2B,1.14,0.000144,0.0000124
80705,TSGA10,testis specific 10,1.02,0.000147,0.0000127
8803,SUCLA2,succinate-CoA ligase ADP-forming beta subunit,1.06,0.000147,0.0000129
1545,CYP1B1,cytochrome P450 family 1 subfamily B member 1,1.14,0.000148,0.0000132
10694,CCT8,chaperonin containing TCP1 subunit 8,1.26,0.000149,0.0000134
57456,KIAA1143,KIAA1143,1.01,0.00015,0.0000137
2330,FMO5,flavin containing monooxygenase 5,1.05,0.000155,0.0000139
5827,PXMP2,peroxisomal membrane protein 2,1.02,0.000156,0.0000142
123036,TC2N,"tandem C2 domains, nuclear",1.01,0.000156,0.0000145
27030,MLH3,mutL homolog 3,1.01,0.000162,0.0000147
79611,ACSS3,acyl-CoA synthetase short chain family member 3,1.53,0.000162,0.000015
7345,UCHL1,ubiquitin C-terminal hydrolase L1,1.03,0.000162,0.0000152
10518,CIB2,calcium and integrin binding family member 2,1.5,0.000162,0.0000155
7754,ZNF204P,"zinc finger protein 204, pseudogene",1.66,0.000167,0.0000158
5919,RARRES2,retinoic acid receptor responder 2,1.34,0.000167,0.0000161
819,CAMLG,calcium modulating ligand,1,0.000172,0.0000163
4724,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,1.2,0.000174,0.0000166
9235,IL32,interleukin 32,1.67,0.000182,0.0000169
18,ABAT,4-aminobutyrate aminotransferase,1.03,0.000184,0.0000172
6203,RPS9,ribosomal protein S9,1.15,0.000184,0.0000175
26505,CNNM3,cyclin and CBS domain divalent metal cation transport mediator 3,1.01,0.000188,0.0000178
100131755,ARMCX4,"armadillo repeat containing, X-linked 4",1.94,0.000189,0.0000181
219285,SAMD9L,sterile alpha motif domain containing 9 like,1,0.000193,0.0000184
493900,TMEM9B-AS1,TMEM9B antisense RNA 1,1.22,0.000199,0.0000188
8790,FPGT,fucose-1-phosphate guanylyltransferase,1.05,0.000204,0.0000191
283459,GATC,glutamyl-tRNA amidotransferase subunit C,1.68,0.000205,0.0000194
3769,KCNJ13,potassium voltage-gated channel subfamily J member 13,1.02,0.000216,0.0000198
6210,RPS15A,ribosomal protein S15a,1.08,0.000216,0.0000201
340348,TSPAN33,tetraspanin 33,1.01,0.000221,0.0000204
11319,ECD,ecdysoneless cell cycle regulator,1.02,0.000224,0.0000208
66005,CHID1,chitinase domain containing 1,1,0.000233,0.0000212
23788,MTCH2,mitochondrial carrier 2,1.01,0.000246,0.0000216
100507602,TRIM52-AS1,TRIM52 antisense RNA 1 (head to head),1.06,0.000247,0.000022
5218,CDK14,cyclin dependent kinase 14,1.01,0.00025,0.0000224
26509,MYOF,myoferlin,1.03,0.000255,0.0000228
54790,TET2,tet methylcytosine dioxygenase 2,1.05,0.000256,0.0000232
28970,C11ORF54,chromosome 11 open reading frame 54,1.27,0.000262,0.0000236
6048,RNF5,ring finger protein 5,1.01,0.000263,0.000024
5934,RBL2,RB transcriptional corepressor like 2,1.01,0.000268,0.0000244
201254,CENPX,centromere protein X,1.08,0.000269,0.0000248
55217,TMLHE,"trimethyllysine hydroxylase, epsilon",1.01,0.000273,0.0000253
1153,CIRBP,cold inducible RNA binding protein,1.06,0.000277,0.0000257
29789,OLA1,Obg like ATPase 1,1.01,0.000279,0.0000261
120065,OR5P2,olfactory receptor family 5 subfamily P member 2,1.02,0.000281,0.0000266
51231,VRK3,vaccinia related kinase 3,1.64,0.000289,0.000027
129530,LYG1,lysozyme g1,1,0.000302,0.0000275
51302,CYP39A1,cytochrome P450 family 39 subfamily A member 1,1.1,0.000302,0.0000279
64129,TINAGL1,tubulointerstitial nephritis antigen like 1,1.19,0.000309,0.0000284
5211,PFKL,"phosphofructokinase, liver type",1.72,0.000313,0.0000289
100507651,LINC01606,long intergenic non-protein coding RNA 1606,1.03,0.000317,0.0000294
2086,ERV3-1,"endogenous retrovirus group 3 member 1, envelope",1.05,0.000318,0.0000299
51056,LAP3,leucine aminopeptidase 3,1.02,0.000328,0.0000304
53343,NUDT9,nudix hydrolase 9,1.5,0.000334,0.0000309
6296,ACSM3,acyl-CoA synthetase medium chain family member 3,1.09,0.000341,0.0000314
1717,DHCR7,7-dehydrocholesterol reductase,1,0.000342,0.0000319
78989,COLEC11,collectin subfamily member 11,1.25,0.000347,0.0000325
5162,PDHB,pyruvate dehydrogenase E1 beta subunit,1.13,0.000348,0.000033
84996,URB1-AS1,URB1 antisense RNA 1 (head to head),1.03,0.000351,0.0000335
55325,UFSP2,UFM1 specific peptidase 2,1.01,0.000351,0.000034
9470,EIF4E2,eukaryotic translation initiation factor 4E family member 2,1.03,0.000352,0.0000346
1512,CTSH,cathepsin H,1.86,0.000364,0.0000351
26517,TIMM13,translocase of inner mitochondrial membrane 13,1.19,0.000369,0.0000357
64065,PERP,"PERP, TP53 apoptosis effector",1.22,0.00037,0.0000362
29796,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",1.08,0.000385,0.0000368
79774,GRTP1,growth hormone regulated TBC protein 1,1.01,0.000385,0.0000374
7368,UGT8,UDP glycosyltransferase 8,1.03,0.000389,0.000038
83937,RASSF4,Ras association domain family member 4,1.07,0.000389,0.0000385
93973,ACTR8,ARP8 actin related protein 8 homolog,1.07,0.000389,0.0000391
83481,EPPK1,epiplakin 1,1.01,0.000394,0.0000397
126353,MISP,mitotic spindle positioning,1.02,0.000405,0.0000403
8100,IFT88,intraflagellar transport 88,1.18,0.00041,0.0000409
57486,NLN,neurolysin,1.07,0.000417,0.0000415
79989,TTC26,tetratricopeptide repeat domain 26,1.06,0.000438,0.0000422
55286,C4ORF19,chromosome 4 open reading frame 19,1.06,0.000451,0.0000428
9037,SEMA5A,semaphorin 5A,1.03,0.000458,0.0000435
401136,TMPRSS11BNL,"TMPRSS11B N-terminal like, pseudogene",1.02,0.000459,0.0000442
55093,WDYHV1,WDYHV motif containing 1,1.05,0.000463,0.0000448
202915,TMEM184A,transmembrane protein 184A,1.79,0.000468,0.0000455
10396,ATP8A1,ATPase phospholipid transporting 8A1,1.27,0.000468,0.0000462
7762,ZNF215,zinc finger protein 215,1.01,0.000492,0.0000469
3704,ITPA,inosine triphosphatase,1.02,0.000498,0.0000477
10229,COQ7,"coenzyme Q7, hydroxylase",1.01,0.000504,0.0000484
80157,CWH43,cell wall biogenesis 43 C-terminal homolog,1.05,0.000527,0.0000492
26958,COPG2,coatomer protein complex subunit gamma 2,1.02,0.000539,0.0000499
150000,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),1.02,0.000542,0.0000507
51020,HDDC2,HD domain containing 2,1.03,0.000559,0.0000515
91603,ZNF830,zinc finger protein 830,1.02,0.000571,0.0000524
284047,CCDC144B,coiled-coil domain containing 144B (pseudogene),1.01,0.000596,0.0000532
27293,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,1.49,0.000596,0.0000541
390003,GUCY2GP,"guanylate cyclase 2G, pseudogene",1.02,0.000596,0.0000549
9547,CXCL14,C-X-C motif chemokine ligand 14,1.03,0.000605,0.0000558
100652739,RAET1E-AS1,RAET1E antisense RNA 1,1.05,0.000616,0.0000567
202052,DNAJC18,DnaJ heat shock protein family (Hsp40) member C18,1,0.000626,0.0000576
10376,TUBA1B,tubulin alpha 1b,1.02,0.00064,0.0000585
284058,KANSL1,KAT8 regulatory NSL complex subunit 1,1.02,0.000653,0.0000594
253558,LCLAT1,lysocardiolipin acyltransferase 1,1.03,0.000654,0.0000604
441250,TYW1B,tRNA-yW synthesizing protein 1 homolog B,1.03,0.000692,0.0000614
5789,PTPRD,"protein tyrosine phosphatase, receptor type D",1.04,0.000692,0.0000624
1781,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2,1,0.000717,0.0000634
100873984,CHRM3-AS1,CHRM3 antisense RNA 1,1.06,0.000722,0.0000644
734,OSGIN2,oxidative stress induced growth inhibitor family member 2,1.06,0.000752,0.0000655
79622,SNRNP25,small nuclear ribonucleoprotein U11/U12 subunit 25,1,0.000755,0.0000666
121457,IKBIP,IKBKB interacting protein,1.02,0.000759,0.0000676
4835,NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,1.55,0.000776,0.0000687
284273,ZADH2,zinc binding alcohol dehydrogenase domain containing 2,1.18,0.000784,0.0000698
7552,ZNF711,zinc finger protein 711,1.01,0.000799,0.000071
8825,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component",1.13,0.000832,0.0000721
255027,MPV17L,MPV17 mitochondrial inner membrane protein like,1.86,0.000847,0.0000733
9906,SLC35E2,solute carrier family 35 member E2,1.2,0.00087,0.0000746
90417,KNSTRN,kinetochore localized astrin/SPAG5 binding protein,1.06,0.000878,0.0000758
4831,NME2,NME/NM23 nucleoside diphosphate kinase 2,1.01,0.000879,0.000077
100130889,PSORS1C3,psoriasis susceptibility 1 candidate 3 (non-protein coding),1.11,0.000889,0.0000783
344887,NMRAL2P,"NmrA like redox sensor 2, pseudogene",1.01,0.000907,0.0000795
2175,FANCA,Fanconi anemia complementation group A,1.22,0.000913,0.0000808
8720,MBTPS1,"membrane bound transcription factor peptidase, site 1",1.15,0.000929,0.0000821
28475,IGHJ6,immunoglobulin heavy joining 6,1.17,0.00096,0.0000834
4069,LYZ,lysozyme,1.02,0.00101,0.0000848
57150,SMIM8,small integral membrane protein 8,1.11,0.00101,0.0000862
117531,TMC1,transmembrane channel like 1,1.01,0.00102,0.0000876
54970,TTC12,tetratricopeptide repeat domain 12,1.26,0.00103,0.0000891
822,CAPG,"capping actin protein, gelsolin like",1.02,0.00103,0.0000905
1891,ECH1,enoyl-CoA hydratase 1,1.01,0.00104,0.0000919
100750247,HIF1A-AS2,HIF1A antisense RNA 2,1.39,0.00105,0.0000934
1200,TPP1,tripeptidyl peptidase 1,1.05,0.00106,0.0000948
10128,LRPPRC,leucine rich pentatricopeptide repeat containing,1.07,0.00108,0.0000963
283635,FAM177A1,family with sequence similarity 177 member A1,1.08,0.0011,0.0000978
84056,KATNAL1,katanin catalytic subunit A1 like 1,1.04,0.00111,0.0000993
57337,SENP7,SUMO1/sentrin specific peptidase 7,1.01,0.00111,0.000101
7386,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",1.16,0.00112,0.000102
840,CASP7,caspase 7,1.5,0.00112,0.000104
56265,CPXM1,"carboxypeptidase X, M14 family member 1",1.34,0.00115,0.000105
9765,ZFYVE16,zinc finger FYVE-type containing 16,1.03,0.00115,0.000107
401164,LINC01060,long intergenic non-protein coding RNA 1060,1.98,0.00116,0.000109
27175,TUBG2,tubulin gamma 2,1,0.00117,0.00011
4137,MAPT,microtubule associated protein tau,1.05,0.00117,0.000112
