gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
CLIC4	ENST00000374379	True	6.0	10.252	0.58523	0.319	1.154	103.0	130.28	0.79062	0.673	0.931	53.0	49.79	1.0645	0.853	1.338	1.2377	0.8669899999999999	-0.35616	0.0011409	0.8483799999999999	0.15048	[]
CLIC5	ENST00000185206	True	11.0	14.985999999999999	0.73401	0.461	1.215	209.0	229.38	0.9111600000000001	0.813	1.022	106.0	100.37	1.0561	0.901	1.241	0.95967	0.48815	-0.44016000000000005	1.2518e-06	0.60382	0.39616999999999997	[]
CLIC6	ENST00000349499	True	9.0	13.902999999999999	0.6473300000000001	0.389	1.13	207.0	242.43	0.85387	0.762	0.958	112.0	104.32	1.0737	0.92	1.256	1.2255	0.8254299999999999	-0.58897	2.9895e-05	0.79895	0.20102	[]
CLINT1	ENST00000523908	True	7.0	32.567	0.21494000000000002	0.121	0.404	267.0	354.33	0.75353	0.681	0.834	101.0	119.34	0.84629	0.719	0.998	4.1754	1.6831	1.3147	0.52128	0.47872	1.146e-06	[]
CLIP1	ENST00000540338	True	15.0	69.453	0.21597	0.144	0.333	585.0	754.88	0.77495	0.723	0.83	310.0	295.15	1.0503	0.956	1.154	6.0895	2.2431	-0.67656	0.6654399999999999	0.33455999999999997	9.477e-13	[]
CLIP2	ENST00000223398	True	4.0	46.926	0.085241	0.041	0.195	469.0	654.21	0.7168899999999999	0.664	0.774	330.0	312.85	1.0548	0.963	1.155	5.84	2.6269	-0.75898	0.99997	3.0356999999999998e-05	3.2326e-15	[]
CLIP3	ENST00000360535	True	4.0	25.191999999999997	0.15878	0.077	0.363	175.0	355.1	0.49282	0.435	0.559	132.0	156.84	0.84162	0.73	0.972	3.935	3.4672	1.553	0.9067200000000001	0.093277	1.163e-06	[]
CLIP4	ENST00000320081	True	17.0	31.224	0.54445	0.372	0.817	353.0	382.63	0.92255	0.845	1.008	124.0	135.48	0.9152600000000001	0.79	1.062	2.3724	0.5495800000000001	0.7722399999999999	4.4893000000000004e-08	0.98924	0.010762	[]
CLK1	ENST00000434813	True	15.0	29.344	0.51118	0.341	0.787	274.0	298.97	0.91648	0.83	1.013	104.0	95.23899999999999	1.092	0.931	1.285	2.4678	0.5239	-0.70287	6.041e-07	0.99364	0.0063603	[]
CLK2	ENST00000361168	True	2.0	37.236999999999995	0.05371	0.021	0.169	225.0	335.54	0.67056	0.601	0.749	109.0	113.07	0.9640299999999999	0.824	1.13	5.3816	2.1892	0.29946	0.9999600000000001	4.2034e-05	1.7444e-13	[]
CLK3	ENST00000395066	True	8.0	31.976	0.25019	0.146	0.451	228.0	326.85	0.69758	0.625	0.778	116.0	117.25	0.9893799999999999	0.85	1.154	3.9516	1.9835	0.090057	0.14368	0.85631	6.082100000000001e-06	[]
CLK4	ENST00000316308	True	12.0	27.578000000000003	0.43513	0.278	0.705	181.0	276.95	0.65354	0.578	0.739	88.0	88.35	0.99603	0.837	1.189	2.7646	2.0917	0.029185000000000003	4.4143e-05	0.9983200000000001	0.0016373000000000002	[]
CLLU1	ENST00000378485	True	4.0	4.0431	0.9893299999999999	0.472	1.828	78.0	59.236000000000004	1.3168	1.096	1.59	25.0	22.1	1.1312	0.823	1.577	0.019999	-0.88444	-0.48306000000000004	0.0017235	0.48296000000000006	0.51531	[]
CLLU1OS	ENST00000378487	True	5.0	4.5434	1.1005	0.557	1.855	48.0	50.339	0.9535299999999999	0.756	1.213	21.0	19.531	1.0752	0.761	1.545	-0.19965	0.11961	-0.26016999999999996	0.00029941	0.362	0.6377	[]
CLMN	ENST00000298912	True	20.0	40.165	0.49793999999999994	0.349	0.724	532.0	549.08	0.9689	0.902	1.041	228.0	225.32	1.0119	0.907	1.129	2.9654	0.26441	-0.13996	9.1246e-09	0.9991	0.00089997	[]
CLMP	ENST00000448775	True	14.0	21.703000000000003	0.6450600000000001	0.425	1.008	182.0	204.75	0.8888799999999999	0.787	1.005	74.0	76.993	0.9611299999999999	0.796	1.166	1.5411	0.57685	0.26703000000000005	1.5397e-07	0.84793	0.15207	[]
CLN3	ENST00000569430	True	15.0	24.863000000000003	0.6033	0.403	0.929	252.0	252.52	0.9979299999999999	0.9	1.108	127.0	112.56	1.1283	0.976	1.307	1.8435	0.011916	-1.0656	1.0625e-07	0.9337200000000001	0.06628200000000001	[]
CLN5	ENST00000377453	True	13.0	17.723	0.73353	0.477	1.166	224.0	219.66	1.0197	0.914	1.139	75.0	83.63799999999999	0.8967200000000001	0.743	1.087	1.0455	-0.10615	0.73954	1.2507e-07	0.5868	0.4132	[]
CLN6	ENST00000249806	True	7.0	11.710999999999999	0.5977399999999999	0.339	1.123	176.0	177.44	0.9918600000000001	0.876	1.124	101.0	71.256	1.4174	1.206	1.672	1.2829	0.039313	-2.7588	0.00037943	0.8507	0.14892	[]
CLN8	ENST00000331222	True	5.0	8.6146	0.58041	0.302	1.218	200.0	172.4	1.1601	1.033	1.304	102.0	76.58800000000001	1.3318	1.134	1.57	1.1477	-0.76246	-2.2735	0.0031553	0.83216	0.16468	[]
CLNK	ENST00000226951	True	38.0	27.723000000000003	1.3707	1.056	1.777	235.0	215.6	1.09	0.979	1.214	87.0	76.74600000000001	1.1336	0.952	1.355	-1.8191	-0.47943	-0.9164200000000001	1.4872e-29	1.3309e-06	1.0	[]
CLNS1A	ENST00000525428	True	4.0	12.677999999999999	0.31551	0.154	0.722	93.0	123.16	0.75512	0.638	0.897	38.0	45.761	0.8304	0.64	1.088	2.2714	0.9858899999999999	0.89828	0.081925	0.9086799999999999	0.0093931	[]
CLOCK	ENST00000309964	True	7.0	54.152	0.12927	0.073	0.243	333.0	446.42	0.74593	0.681	0.817	143.0	152.8	0.93586	0.816	1.075	5.9717	1.9474	0.62073	0.99971	0.00028643	6.3434e-15	[]
CLP1	ENST00000533682	True	4.0	14.728	0.2716	0.133	0.622	152.0	251.74	0.6037899999999999	0.528	0.691	77.0	93.26899999999999	0.82557	0.686	0.998	2.6052	2.2806	1.3189	0.16205999999999998	0.8350700000000001	0.0028712	[]
CLPB	ENST00000294053	True	13.0	38.305	0.33938	0.22	0.54	375.0	437.34	0.85746	0.787	0.934	154.0	174.81	0.8809600000000001	0.772	1.007	3.8105	1.0814	1.2322	0.00046949	0.9995200000000001	1.115e-05	[]
CLPP	ENST00000245816	True	1.0	11.295	0.088537	0.03	0.42	91.0	164.59	0.5529	0.466	0.658	72.0	68.601	1.0495	0.867	1.277	2.8548	2.0809	-0.32131	0.88305	0.1167	0.00025165	[]
CLPS	ENST00000259938	True	2.0	3.7146	0.53842	0.217	1.568	51.0	65.13600000000001	0.78298	0.624	0.989	23.0	26.230999999999998	0.87684	0.63	1.242	0.82909	0.63541	0.49385	0.06288099999999999	0.73623	0.20089	[]
CLPSL1	ENST00000373861	True	6.0	4.0047	1.4983	0.752	1.931	61.0	65.557	0.9304899999999999	0.756	1.152	14.0	25.218000000000004	0.55516	0.366	0.868	-0.9292600000000001	0.20418	1.749	2.1373e-05	0.16444	0.83554	[]
CLPSL2	ENST00000403376	True	1.0	2.5316	0.395	0.136	1.608	36.0	49.266000000000005	0.73072	0.559	0.965	20.0	18.984	1.0535	0.74	1.528	0.8971299999999999	0.68567	-0.18263	0.18732000000000001	0.6562	0.15648	[]
CLPTM1	ENST00000337392	True	6.0	34.595	0.17343	0.094	0.342	255.0	424.94	0.6000800000000001	0.541	0.666	182.0	182.1	0.99946	0.885	1.13	4.5309	2.9908	0.0057439	0.92363	0.07637000000000001	2.8489e-08	[]
CLPTM1L	ENST00000320895	True	13.0	32.676	0.39784	0.258	0.633	298.0	329.61	0.9041100000000001	0.822	0.995	172.0	150.1	1.1459	1.011	1.3	3.208	0.63154	-1.3994	5.7201000000000003e-05	0.99971	0.00022915	[]
CLPX	ENST00000300107	True	6.0	34.191	0.17548	0.095	0.346	240.0	336.77	0.71265	0.641	0.793	113.0	121.19	0.9324100000000001	0.8	1.09	4.4933	1.913	0.58258	0.91227	0.087729	4.0652e-08	[]
CLRN1	ENST00000328863	True	11.0	9.2389	1.1906	0.743	1.818	150.0	130.48	1.1496	1.006	1.316	49.0	50.128	0.9775	0.776	1.24	-0.53997	-0.6199600000000001	0.12474	1.5723e-08	0.065077	0.9349200000000001	[]
CLRN2	ENST00000511148	True	9.0	9.8227	0.91625	0.551	1.575	135.0	143.63	0.9399299999999999	0.816	1.084	74.0	66.255	1.1169	0.925	1.355	0.24463000000000001	0.26119000000000003	-0.74495	2.5019e-06	0.3076	0.6924	[]
CLRN3	ENST00000368671	True	3.0	6.4673	0.46387	0.21	1.194	144.0	126.02	1.1427	0.997	1.312	56.0	57.288999999999994	0.97749	0.788	1.221	1.2707	-0.58121	0.13337000000000002	0.038942000000000004	0.8472	0.11385999999999999	[]
CLSPN	ENST00000318121	True	19.0	67.567	0.2812	0.195	0.413	611.0	681.36	0.89674	0.838	0.959	246.0	250.71	0.9812299999999999	0.883	1.091	5.5065	0.9778700000000001	0.23265	0.0013395999999999998	0.99866	1.6946e-10	[]
CLSTN1	ENST00000377298	True	7.0	45.681999999999995	0.15323	0.086	0.288	524.0	593.88	0.88234	0.821	0.948	279.0	263.62	1.0584	0.959	1.169	5.3339	1.0402	-0.7418100000000001	0.99324	0.0067584	1.4135999999999999e-11	[]
CLSTN2	ENST00000458420	True	17.0	43.089	0.39453	0.269	0.592	509.0	561.1	0.90715	0.843	0.976	231.0	210.93	1.0951	0.983	1.221	3.7041	0.79785	-1.0818	3.838e-06	0.99998	1.8596e-05	[]
CLSTN3	ENST00000266546	True	6.0	40.135999999999996	0.14949	0.081	0.295	478.0	572.39	0.8351	0.774	0.901	243.0	239.49	1.0147	0.913	1.128	5.0217	1.4312	-0.17753	0.9897	0.010303	1.9614e-10	[]
CLTA	ENST00000242285	True	1.0	15.013	0.066608	0.023	0.316	112.0	140.17	0.79903	0.685	0.935	51.0	51.422	0.99179	0.791	1.252	3.3706	0.86315	0.046104	0.96815	0.031844	9.3221e-06	[]
CLTB	ENST00000310418	True	3.0	13.245999999999999	0.22648000000000001	0.102	0.585	103.0	140.35	0.7338600000000001	0.625	0.864	46.0	56.312	0.81688	0.644	1.044	2.6237	1.1438	1.0759	0.36632	0.63146	0.0022272	[]
CLTC	ENST00000269122	True	3.0	89.539	0.033505	0.014	0.087	250.0	924.82	0.27032	0.243	0.3	274.0	316.77	0.8649700000000001	0.783	0.956	8.5233	8.0501	1.8816	1.0	6.9902e-13	3.9731e-33	[]
CLTCL1	ENST00000263200	True	64.0	81.969	0.78078	0.637	0.961	827.0	905.53	0.91328	0.862	0.967	325.0	352.33	0.92243	0.842	1.011	1.8497	0.94668	1.14	2.0573000000000002e-35	0.011887	0.98811	[]
CLU	ENST00000316403	True	10.0	19.503	0.51274	0.315	0.87	228.0	268.44	0.84934	0.762	0.948	123.0	108.92	1.1293	0.975	1.312	2.0054	0.89551	-1.0562	5.687e-05	0.97378	0.026162	[]
CLUAP1	ENST00000576634	True	9.0	23.66	0.38039	0.228	0.664	227.0	230.46	0.985	0.883	1.1	89.0	83.49799999999999	1.0659	0.897	1.271	2.8089	0.082628	-0.47143	0.0014343	0.99724	0.0013307	[]
CLUH	ENST00000570628	True	10.0	58.876999999999995	0.16985	0.104	0.288	663.0	837.51	0.79164	0.742	0.844	474.0	387.16	1.2243	1.135	1.321	5.9365	2.1876	-3.4553	0.99316	0.0068432	1.2074e-13	[]
CLUL1	ENST00000400606	True	16.0	19.303	0.82888	0.56	1.259	209.0	236.93	0.8821100000000001	0.787	0.989	99.0	86.756	1.1411	0.969	1.349	0.70068	0.65828	-1.0292	6.774600000000001e-10	0.24777	0.7522300000000001	[]
CLVS1	ENST00000519846	True	2.0	15.103	0.13243	0.053	0.417	145.0	200.41	0.7235	0.631	0.83	81.0	81.227	0.99721	0.832	1.2	3.1422	1.42	0.019698	0.8579399999999999	0.14197	8.5556e-05	[]
CLVS2	ENST00000275162	True	5.0	10.957	0.45633999999999997	0.237	0.959	115.0	184.74	0.62248	0.534	0.727	71.0	70.268	1.0104	0.833	1.231	1.6771	1.8615	-0.068335	0.0085458	0.9386399999999999	0.052811000000000004	[]
CLYBL	ENST00000376360	True	15.0	17.0	0.88234	0.589	1.358	178.0	178.69	0.9961200000000001	0.881	1.128	78.0	71.158	1.0962	0.912	1.323	0.45214	0.018817	-0.6350399999999999	1.0290999999999999e-09	0.1712	0.8288	[]
CMA1	ENST00000250378	True	11.0	8.6555	1.2709	0.789	1.864	201.0	141.13	1.4242	1.269	1.601	73.0	54.443999999999996	1.3408	1.109	1.629	-0.7427	-1.8282	-1.9689	9.4048e-09	0.04842	0.95158	"[""mis_too_many""]"
CMAS	ENST00000229329	True	4.0	24.419	0.16380999999999998	0.08	0.375	119.0	224.4	0.5303	0.456	0.618	69.0	82.219	0.8392200000000001	0.69	1.025	3.851	2.5526	1.1414	0.8792200000000001	0.12078	2.281e-06	[]
CMBL	ENST00000296658	True	8.0	12.970999999999998	0.61678	0.361	1.113	147.0	136.42	1.0775	0.941	1.236	48.0	48.666000000000004	0.98631	0.782	1.255	1.2863	-0.32847	0.074796	0.00011518	0.83867	0.16121	[]
CMC1	ENST00000466830	True	2.0	4.8391	0.4133	0.168	1.282	48.0	48.269	0.9944299999999999	0.788	1.265	13.0	14.780999999999999	0.8794799999999999	0.572	1.397	1.2028	0.014032	0.36278	0.10167000000000001	0.78171	0.11660999999999999	[]
CMC2	ENST00000219400	True	1.0	2.7095	0.36907	0.128	1.556	50.0	39.184	1.276	1.016	1.614	14.0	13.292	1.0533	0.694	1.628	0.9679	-0.62685	-0.15214	0.20049	0.6571	0.14240999999999998	[]
CMC4	ENST00000369484	True	0.0	2.1652	0.0	0.0	1.28	24.0	26.748	0.8972600000000001	0.649	1.262	13.0	10.222999999999999	1.2717	0.82	1.849	1.3714	0.19276	-0.68013	0.53303	0.41163999999999995	0.055328999999999996	[]
CMIP	ENST00000537098	True	2.0	42.328	0.04725	0.018	0.149	255.0	460.19	0.55412	0.499	0.615	253.0	213.25	1.1864	1.07	1.317	5.7769	3.47	-2.1311	0.9999899999999999	6.2611e-06	1.6878e-15	[]
CMKLR1	ENST00000312143	True	4.0	7.2117	0.55465	0.272	1.264	198.0	218.82	0.90486	0.805	1.018	77.0	84.54799999999999	0.9107299999999999	0.757	1.101	1.1146	0.51056	0.64268	0.009676100000000002	0.8289799999999999	0.16134	[]
CMPK1	ENST00000371873	True	1.0	10.578	0.094539	0.033	0.448	49.0	107.22	0.45701	0.362	0.58	29.0	38.421	0.7548	0.561	1.029	2.7445	2.0397	1.1899	0.85226	0.14728	0.00046676	[]
CMPK2	ENST00000256722	True	10.0	11.741	0.8517399999999999	0.524	1.44	163.0	176.51	0.9234700000000001	0.812	1.052	73.0	75.28699999999999	0.96962	0.802	1.178	0.47343999999999997	0.36885999999999997	0.20640999999999998	1.1709999999999999e-06	0.36553	0.63447	[]
CMSS1	ENST00000421999	True	8.0	18.535	0.43162	0.252	0.779	154.0	142.78	1.0786	0.945	1.233	45.0	56.262	0.79983	0.629	1.025	2.2806	-0.34068000000000004	1.1755	0.0010887	0.9893299999999999	0.009581999999999999	[]
CMTM1	ENST00000379500	True	5.0	8.053	0.6208899999999999	0.323	1.3	168.0	181.41	0.92606	0.816	1.052	77.0	81.152	0.94883	0.788	1.147	1.0027	0.36130999999999996	0.36086999999999997	0.0024188	0.78701	0.21056999999999998	[]
CMTM2	ENST00000268595	True	7.0	7.6166	0.91904	0.52	1.66	136.0	151.08	0.90017	0.782	1.038	47.0	57.603	0.81594	0.645	1.04	0.20822	0.44515	1.0938	3.742e-05	0.38793	0.61203	[]
CMTM3	ENST00000424011	True	6.0	5.9957	1.0007	0.541	1.778	74.0	88.62100000000001	0.8350200000000001	0.691	1.013	36.0	41.437	0.8688	0.665	1.147	-0.0016444000000000003	0.5634399999999999	0.6612399999999999	9.9719e-05	0.36435	0.63555	[]
CMTM4	ENST00000330687	True	2.0	7.1949	0.27798	0.113	0.875	80.0	111.92	0.7148	0.596	0.861	40.0	46.348	0.86305	0.669	1.123	1.805	1.0946	0.73	0.23149	0.73746	0.031047	[]
CMTM5	ENST00000359320	True	3.0	7.3956	0.40565	0.184	1.047	98.0	94.34200000000001	1.0388	0.881	1.229	32.0	36.580999999999996	0.87477	0.659	1.175	1.5064	-0.13664	0.5930300000000001	0.056724000000000004	0.87208	0.07119600000000001	[]
CMTM6	ENST00000205636	True	1.0	5.2338	0.19107000000000002	0.067	0.905	70.0	85.256	0.82105	0.676	1.002	34.0	31.948	1.0642	0.809	1.417	1.7247	0.59942	-0.28426999999999997	0.4262	0.5434399999999999	0.030364999999999996	[]
CMTM7	ENST00000334983	True	3.0	6.7043	0.44747	0.203	1.153	55.0	79.37899999999999	0.69288	0.557	0.867	33.0	32.481	1.016	0.769	1.358	1.3333	0.9926799999999999	-0.071287	0.042982	0.85575	0.10126	[]
CMTM8	ENST00000307526	True	3.0	7.8317	0.38306	0.173	0.99	98.0	100.3	0.97703	0.829	1.156	34.0	42.312	0.80356	0.61	1.07	1.6091	0.083471	1.0005	0.067096	0.8763	0.056603999999999995	[]
CMTR1	ENST00000373451	True	7.0	47.357	0.14781	0.083	0.278	285.0	494.43	0.5764199999999999	0.522	0.636	177.0	179.37	0.9868	0.872	1.118	5.4655	3.4168	0.13839	0.9963799999999999	0.0036241999999999997	3.0843e-12	[]
CMTR2	ENST00000338099	True	16.0	21.892	0.73087	0.494	1.11	400.0	397.67	1.0059	0.926	1.093	152.0	148.06	1.0266	0.899	1.175	1.1735	-0.042429	-0.25378	4.0991000000000005e-09	0.5694100000000001	0.43059	[]
CMYA5	ENST00000446378	True	100.0	130.78	0.76465	0.649	0.903	1970.0	2007.0	0.9815799999999999	0.945	1.019	746.0	772.24	0.9660200000000001	0.909	1.026	2.5084	0.29936	0.73926	6.411299999999999e-54	0.0026513	0.99735	[]
CNBD1	ENST00000518476	True	23.0	19.055	1.207	0.867	1.694	247.0	196.92	1.2543	1.13	1.394	55.0	67.863	0.8104600000000001	0.652	1.015	-0.84221	-1.2948	1.2225	3.1739e-17	0.0013132999999999999	0.99869	[]
CNBD2	ENST00000349339	True	25.0	29.089000000000002	0.8594299999999999	0.625	1.2	306.0	319.28	0.95839	0.872	1.054	113.0	118.04	0.9573200000000001	0.821	1.119	0.7066	0.2697	0.36303	2.2120999999999998e-15	0.058102	0.9419	[]
CNBP	ENST00000441626	True	0.0	9.1559	0.0	0.0	0.327	42.0	111.78	0.37575	0.293	0.486	32.0	35.89	0.89161	0.672	1.198	2.82	2.3943	0.5084	0.9463299999999999	0.053498000000000004	0.00016844	[]
CNDP1	ENST00000358821	True	18.0	26.392	0.68203	0.47	1.011	291.0	310.04	0.9386	0.852	1.034	133.0	128.92	1.0316	0.895	1.191	1.5224	0.39221	-0.28110999999999997	1.0889000000000002e-09	0.7606	0.2394	[]
CNDP2	ENST00000324262	True	15.0	23.829	0.62949	0.42	0.969	288.0	292.32	0.98524	0.894	1.086	141.0	136.28	1.0346	0.901	1.19	1.6856	0.09156	-0.31643000000000004	6.878e-08	0.8899100000000001	0.11009000000000001	[]
CNEP1R1	ENST00000458059	True	1.0	9.3013	0.10751	0.037	0.51	25.0	69.124	0.36167	0.263	0.505	23.0	23.26	0.9888	0.71	1.401	2.5368	1.9253	0.042283	0.78108	0.21755	0.0013683	[]
CNFN	ENST00000222032	True	3.0	5.7106	0.5253399999999999	0.238	1.34	58.0	69.17	0.83852	0.678	1.043	17.0	26.36	0.64491	0.44	0.967	1.0571	0.48722	1.4274	0.028013	0.80879	0.1632	[]
CNGA1	ENST00000402813	True	22.0	34.044000000000004	0.64622	0.461	0.923	355.0	384.73	0.9227200000000001	0.845	1.007	141.0	143.92	0.9797399999999999	0.854	1.127	1.9238	0.54991	0.19028	3.0738000000000004e-11	0.8989	0.1011	[]
CNGA2	ENST00000329903	True	7.0	17.125	0.40875	0.231	0.768	270.0	271.03	0.9961899999999999	0.901	1.102	109.0	102.79	1.0604	0.907	1.243	2.2803	0.022777000000000002	-0.47933000000000003	0.0033361	0.9872299999999999	0.009437200000000001	[]
CNGA3	ENST00000393504	True	28.0	26.098000000000003	1.0729	0.794	1.471	404.0	403.48	1.0013	0.922	1.087	182.0	173.0	1.052	0.932	1.19	-0.34703	-0.0094635	-0.53568	1.0837e-19	0.0012267	0.99877	[]
CNGA4	ENST00000379936	True	14.0	22.933000000000003	0.61046	0.402	0.954	348.0	347.08	1.0027	0.918	1.096	129.0	141.2	0.91361	0.791	1.057	1.7385	-0.017995	0.80369	2.6325e-07	0.9152100000000001	0.084793	[]
CNGB1	ENST00000251102	True	59.0	64.221	0.9187	0.744	1.141	774.0	718.89	1.0767	1.014	1.143	286.0	293.58	0.97419	0.884	1.074	0.60723	-0.7456	0.34617	3.5469e-37	4.1051000000000004e-05	0.9999600000000001	[]
CNGB3	ENST00000320005	True	32.0	44.357	0.72142	0.544	0.969	482.0	422.58	1.1406	1.058	1.23	160.0	150.93	1.0601	0.931	1.209	1.7292	-1.0487	-0.5777399999999999	5.6377e-17	0.50573	0.49427	[]
CNIH1	ENST00000216416	True	1.0	7.6092	0.13142	0.046	0.623	35.0	65.02600000000001	0.53825	0.41	0.714	18.0	23.173000000000002	0.77675	0.536	1.152	2.233	1.3508	0.8414200000000001	0.65247	0.34219	0.0053396	[]
CNIH2	ENST00000311445	True	0.0	9.2622	0.0	0.0	0.323	29.0	89.146	0.32531	0.241	0.444	27.0	35.555	0.75939	0.559	1.047	2.8363	2.311	1.1233	0.94832	0.051522000000000005	0.00015322	[]
CNIH3	ENST00000272133	True	1.0	10.529000000000002	0.09497699999999999	0.033	0.451	69.0	88.95700000000001	0.77566	0.638	0.948	24.0	36.083	0.66513	0.481	0.935	2.7369	0.76761	1.5749	0.8499399999999999	0.14958	0.00048663	[]
CNIH4	ENST00000465271	True	4.0	9.3201	0.42918	0.21	0.982	67.0	74.572	0.89846	0.737	1.101	30.0	26.296	1.1408	0.852	1.546	1.6241	0.31811	-0.56545	0.023594999999999998	0.9187700000000001	0.057636	[]
CNKSR1	ENST00000361530	True	45.0	45.923	0.9799	0.771	1.256	372.0	409.73	0.9079200000000001	0.833	0.989	164.0	164.29	0.99825	0.878	1.136	0.12696	0.67613	0.01761	1.0441999999999999e-29	0.00010659	0.99989	[]
CNKSR2	ENST00000379510	True	3.0	41.023	0.07313099999999999	0.032	0.189	175.0	373.95	0.46798	0.413	0.53	113.0	135.95	0.8311700000000001	0.713	0.972	5.5327	3.7323	1.5412	0.99995	5.3073000000000005e-05	6.2292e-14	[]
CNKSR3	ENST00000607772	True	9.0	29.979	0.30021	0.18	0.524	298.0	330.5	0.9016700000000001	0.819	0.992	120.0	134.85	0.8899	0.766	1.036	3.5709	0.64847	1.001	0.015052000000000001	0.9849	4.4158e-05	[]
CNN1	ENST00000252456	True	4.0	13.466	0.29705	0.145	0.68	142.0	183.54	0.77368	0.674	0.889	87.0	75.499	1.1523	0.968	1.377	2.404	1.1123	-1.0363	0.10733	0.8866700000000001	0.0060042	[]
CNN2	ENST00000263097	True	5.0	14.07	0.35536999999999996	0.185	0.747	202.0	204.86	0.9860399999999999	0.878	1.108	102.0	90.603	1.1258	0.958	1.327	2.2535	0.072502	-0.93742	0.028051	0.96178	0.01017	[]
CNN3	ENST00000370206	True	3.0	16.125	0.18605	0.084	0.481	93.0	179.25	0.51883	0.438	0.616	45.0	65.382	0.68826	0.541	0.882	3.0461	2.3371	1.9736	0.6297699999999999	0.36995	0.00027815	[]
CNNM1	ENST00000356713	True	9.0	29.096	0.30932	0.185	0.54	321.0	496.28	0.64681	0.59	0.709	184.0	217.65	0.8454	0.749	0.955	3.4722	2.8544	1.7857	0.010865999999999999	0.98906	7.1226e-05	[]
CNNM2	ENST00000369878	True	3.0	28.618000000000002	0.10482999999999999	0.047	0.271	214.0	501.59	0.42663999999999996	0.381	0.478	234.0	214.06	1.0931	0.982	1.218	4.463	4.6585	-1.0668	0.99454	0.0054622	5.010600000000001e-09	[]
CNNM3	ENST00000305510	True	14.0	22.164	0.63166	0.416	0.987	250.0	286.4	0.8729	0.786	0.969	147.0	137.75	1.0672	0.932	1.224	1.6161	0.7803399999999999	-0.61706	1.8920999999999998e-07	0.87715	0.12285	[]
CNNM4	ENST00000377075	True	14.0	23.017	0.60825	0.401	0.951	307.0	447.21	0.68647	0.624	0.755	206.0	194.94	1.0567	0.942	1.186	1.7516	2.4053	-0.62036	2.7263000000000003e-07	0.91863	0.081373	[]
CNOT1	ENST00000317147	True	0.0	126.25	0.0	0.0	0.023	555.0	1317.1	0.42138000000000003	0.392	0.452	469.0	461.5	1.0163	0.941	1.097	10.472000000000001	7.6181	-0.27343	1.0	5.4021999999999996e-21	8.348299999999999e-51	[]
CNOT10	ENST00000454516	True	7.0	43.151	0.16222	0.091	0.305	310.0	417.37	0.74275	0.676	0.816	123.0	148.69	0.82724	0.714	0.961	5.1289	1.9066	1.6494	0.9827600000000001	0.017235	1.4038e-10	[]
CNOT11	ENST00000289382	True	4.0	19.217	0.20815	0.102	0.476	168.0	283.2	0.59322	0.522	0.674	102.0	109.34	0.9328799999999999	0.794	1.1	3.2351	2.4834	0.54952	0.50975	0.4901	0.00015126	[]
CNOT2	ENST00000229195	True	2.0	33.632	0.05946799999999999	0.023	0.187	114.0	293.88	0.38791	0.332	0.453	89.0	103.3	0.8616	0.725	1.028	5.0834	3.8067	1.1013	0.99984	0.00016185	4.6548e-12	[]
CNOT3	ENST00000406403	True	0.0	38.957	0.0	0.0	0.076	223.0	444.92	0.50121	0.448	0.56	196.0	181.76	1.0783	0.959	1.214	5.817	3.8168	-0.82689	1.0	8.161100000000001e-07	2.8818000000000003e-16	[]
CNOT4	ENST00000541284	True	1.0	33.821	0.029568	0.01	0.14	204.0	407.91	0.50011	0.445	0.562	145.0	154.1	0.9409200000000001	0.821	1.08	5.2597	3.6627	0.57417	0.99997	2.899e-05	3.4875e-13	[]
CNOT6	ENST00000393356	True	8.0	25.616	0.31231	0.182	0.564	183.0	298.81	0.61244	0.542	0.692	112.0	112.87	0.9923299999999999	0.85	1.161	3.2438	2.4304	0.063766	0.015308	0.9844799999999999	0.00021278	[]
CNOT6L	ENST00000264903	True	2.0	27.174	0.073599	0.029	0.232	115.0	291.94	0.39391	0.338	0.46	100.0	108.91	0.91819	0.78	1.084	4.5007	3.7569	0.66847	0.9981899999999999	0.0018081	1.6671e-09	[]
CNOT7	ENST00000361272	True	0.0	17.208	0.0	0.0	0.174	61.0	154.42	0.39502	0.32	0.489	66.0	52.033	1.2684	1.039	1.557	3.866	2.7273	-1.516	0.9972200000000001	0.0027751	1.1577e-07	[]
CNOT8	ENST00000517876	True	4.0	14.661	0.27283	0.133	0.624	77.0	151.82	0.50717	0.421	0.613	47.0	53.498999999999995	0.8785299999999999	0.694	1.12	2.5949	2.203	0.69565	0.15869	0.8383200000000001	0.0029871	[]
CNP	ENST00000393892	True	1.0	15.567	0.064237	0.022	0.305	161.0	264.55	0.60859	0.534	0.694	111.0	119.23	0.93096	0.797	1.09	3.4409	2.3095	0.59023	0.97395	0.026039	5.6610000000000005e-06	[]
CNPPD1	ENST00000409789	True	16.0	22.609	0.7076899999999999	0.478	1.075	230.0	237.98	0.96645	0.867	1.078	100.0	99.838	1.0016	0.851	1.183	1.2953	0.18777	-0.012731999999999999	6.2156e-09	0.6602899999999999	0.33971	[]
